orgName,sector,firstName,lastName,email,socialLink,phone,addressStreet,addressCity,addressState,addressCountry,Role,eventId,eventName,eventDate,connections
Anderson-Zimmerman University,Robotics,Maria,Blair,maria.blair@andersonzimmermanuniversity.edu,https://linkedin.com/in/mariablair185,5371398268,2873 Wheeler Lake,South Jamieshire,NM,USA,Attendee,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Terry Group University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Robotics work during breakout session""}, {""organization"": ""Sanchez Group University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Robotics work during breakout session""}]"
Collins LLC University,Robotics,Lisa,Blake,lisa.blake@collinsllcuniversity.edu,https://linkedin.com/in/lisablake508,5952659919,28275 Jones Fort,Angelamouth,LA,USA,Attendee,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Rodriguez, Cooper and Bryant University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Robotics work during breakout session""}, {""organization"": ""Sanchez Group University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Robotics work during breakout session""}, {""organization"": ""Johnson and Sons University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging Robotics and Computer Vision""}]"
Miller-Smith University,NLP,Mary,Hardin,mary.hardin@millersmithuniversity.edu,https://linkedin.com/in/maryhardin120,0334397137,27970 Stephen Prairie,Port Lauraside,NC,USA,Panelist,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Ramirez PLC University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed NLP work during breakout session""}]"
"Crawford, Smith and Carroll University",NLP,Wesley,Joseph,wesley.joseph@crawfordsmithandcarrolluniversity.edu,https://linkedin.com/in/wesleyjoseph56,8355068978,75683 Hull Loaf Suite 538,Wandafurt,WA,USA,Volunteer,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Jones-Harris University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed NLP work during breakout session""}, {""organization"": ""Sanchez Group University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging NLP and Robotics""}, {""organization"": ""Ramirez, Kelly and Collins University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging NLP and Robotics""}]"
Taylor and Sons University,Computer Vision,Lisa,Lyons,lisa.lyons@taylorandsonsuniversity.edu,https://linkedin.com/in/lisalyons983,7436964545,623 Wolfe Circle Apt. 148,North Amy,SD,USA,Attendee,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Sanchez Group University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Computer Vision work during breakout session""}, {""organization"": ""Escobar, Green and Monroe University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Computer Vision work during breakout session""}, {""organization"": ""Hill-Tapia University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Computer Vision work during breakout session""}]"
"Harvey, Sanders and Decker University",NLP,Brian,Jones,brian.jones@harveysandersanddeckeruniversity.edu,https://linkedin.com/in/brianjones274,6582371775,13226 Karen Gateway,Ericland,CO,USA,Attendee,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Rodriguez, Cooper and Bryant University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed NLP work during breakout session""}]"
"Harvey, Sanders and Decker University",Robotics,James,Small,james.small@harveysandersanddeckeruniversity.edu,https://linkedin.com/in/jamessmall93,2064745545,08731 Nunez Estate Suite 162,Tristanside,NH,USA,Attendee,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Oneill, Gregory and Good University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Robotics work during breakout session""}, {""organization"": ""Collins LLC University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Robotics work during breakout session""}, {""organization"": ""Carpenter LLC University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Robotics work during breakout session""}, {""organization"": ""Harvey, Sanders and Decker University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging Robotics and NLP""}]"
Hernandez-Simon University,Computer Vision,Jessica,Clark,jessica.clark@hernandezsimonuniversity.edu,https://linkedin.com/in/jessicaclark626,7351814708,1214 Ricardo Green Suite 742,Hallside,GA,USA,Attendee,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Ramirez, Kelly and Collins University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Computer Vision work during breakout session""}, {""organization"": ""Wade, Lee and Strickland University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Computer Vision work during breakout session""}]"
"Ramirez, Kelly and Collins University",Computer Vision,Bobby,Horton,bobby.horton@ramirezkellyandcollinsuniversity.edu,https://linkedin.com/in/bobbyhorton210,1828107906,54417 Jesse Brooks,Port Richardhaven,KY,USA,Attendee,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Ramos-Roth University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Computer Vision work during breakout session""}, {""organization"": ""Scott, Green and Lopez University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging Computer Vision and Robotics""}]"
Gray-Brock University,Computer Vision,Brittney,Green,brittney.green@graybrockuniversity.edu,https://linkedin.com/in/brittneygreen15,6975316272,925 Higgins Burg,New Kurt,WI,USA,Attendee,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Pope Ltd University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Computer Vision work during breakout session""}, {""organization"": ""Wade, Lee and Strickland University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging Computer Vision and NLP""}, {""organization"": ""Pope Ltd University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging Computer Vision and Robotics""}]"
Taylor and Sons University,NLP,Ashley,Lopez,ashley.lopez@taylorandsonsuniversity.edu,https://linkedin.com/in/ashleylopez63,1243986594,98581 Antonio Centers Apt. 242,Grantburgh,MS,USA,Volunteer,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Wade, Lee and Strickland University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed NLP work during breakout session""}, {""organization"": ""Johnson, Atkinson and Adams University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed NLP work during breakout session""}, {""organization"": ""Oneill, Gregory and Good University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed NLP work during breakout session""}]"
Barber-Weber University,Robotics,Melissa,Wilson,melissa.wilson@barberweberuniversity.edu,https://linkedin.com/in/melissawilson787,7609601293,271 Navarro Isle Apt. 867,Hillhaven,KY,USA,Speaker,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Hall, Brock and Wilson University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Robotics work during breakout session""}, {""organization"": ""Wright-Phillips University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging Robotics and NLP""}, {""organization"": ""Hall, Brock and Wilson University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging Robotics and NLP""}]"
"Thompson, Robinson and Warner University",NLP,William,Johnson,william.johnson@thompsonrobinsonandwarneruniversity.edu,https://linkedin.com/in/williamjohnson798,5529238941,1729 Jimenez Courts Suite 875,Lake Davidville,HI,USA,Attendee,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Crawford, Smith and Carroll University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed NLP work during breakout session""}, {""organization"": ""Clark-Pham University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed NLP work during breakout session""}, {""organization"": ""Terry Group University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging NLP and Robotics""}]"
Allen and Sons University,Robotics,James,Smith,james.smith@allenandsonsuniversity.edu,https://linkedin.com/in/jamessmith364,4929619039,1132 Johnson Forges Suite 629,West Johnville,WV,USA,Attendee,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Harvey, Sanders and Decker University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Robotics work during breakout session""}, {""organization"": ""Collins LLC University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Robotics work during breakout session""}, {""organization"": ""Harvey, Sanders and Decker University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Robotics work during breakout session""}]"
"Ramirez, Kelly and Collins University",Computer Vision,Erica,Munoz,erica.munoz@ramirezkellyandcollinsuniversity.edu,https://linkedin.com/in/ericamunoz931,3133438021,99525 Lauren Mews,Charlesburgh,ID,USA,Sponsor,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Terry Group University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Computer Vision work during breakout session""}, {""organization"": ""Harvey, Sanders and Decker University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging Computer Vision and Robotics""}, {""organization"": ""Crawford, Smith and Carroll University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging Computer Vision and NLP""}]"
Mitchell-Smith University,Computer Vision,Amber,Stokes,amber.stokes@mitchellsmithuniversity.edu,https://linkedin.com/in/amberstokes2,0507257788,1349 Patterson Mount,Lake David,HI,USA,Organizer,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Taylor and Sons University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Computer Vision work during breakout session""}, {""organization"": ""Barber-Weber University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Computer Vision work during breakout session""}, {""organization"": ""Meza-Potter University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging Computer Vision and NLP""}]"
Solomon Inc University,NLP,Jessica,Byrd,jessica.byrd@solomonincuniversity.edu,https://linkedin.com/in/jessicabyrd984,6184578326,866 Jennifer Turnpike Apt. 299,Longville,GA,USA,Attendee,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Lee LLC University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed NLP work during breakout session""}, {""organization"": ""Sanchez Group University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging NLP and Robotics""}]"
"Hicks, Johnson and Walsh University",Robotics,Anthony,Campbell,anthony.campbell@hicksjohnsonandwalshuniversity.edu,https://linkedin.com/in/anthonycampbell160,5541018089,95664 Melissa Island Suite 906,Martinville,KS,USA,Attendee,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Anderson-Zimmerman University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Robotics work during breakout session""}, {""organization"": ""Rodriguez-Hickman University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Robotics work during breakout session""}]"
Barry LLC University,Robotics,Hunter,Clark,hunter.clark@barryllcuniversity.edu,https://linkedin.com/in/hunterclark782,7056710200,85878 Ayala Islands Suite 037,East Ashley,SD,USA,Attendee,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Yates, Carter and Foley University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Robotics work during breakout session""}, {""organization"": ""Allen and Sons University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging Robotics and NLP""}, {""organization"": ""Carpenter LLC University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging Robotics and Computer Vision""}]"
Allen and Sons University,NLP,Sharon,Garrison,sharon.garrison@allenandsonsuniversity.edu,https://linkedin.com/in/sharongarrison189,9367259690,55279 Mary Lodge Suite 831,Martinstad,MS,USA,Attendee,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Terry Group University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed NLP work during breakout session""}, {""organization"": ""Sanchez Group University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging NLP and Robotics""}, {""organization"": ""Clark-Pham University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging NLP and Robotics""}]"
"Hall, Brock and Wilson University",NLP,Jon,Miller,jon.miller@hallbrockandwilsonuniversity.edu,https://linkedin.com/in/jonmiller43,3520012207,8066 James Harbors Suite 244,Wesleyton,IA,USA,Sponsor,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Myers-Barr University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed NLP work during breakout session""}, {""organization"": ""Harvey, Sanders and Decker University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed NLP work during breakout session""}, {""organization"": ""Collins LLC University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging NLP and Robotics""}]"
Gray-Brock University,Computer Vision,Gabrielle,Stewart,gabrielle.stewart@graybrockuniversity.edu,https://linkedin.com/in/gabriellestewart748,7240042874,1568 Melanie Crossroad Apt. 260,South Jacobfort,OR,USA,Attendee,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Crawford, Smith and Carroll University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Computer Vision work during breakout session""}, {""organization"": ""Escobar, Green and Monroe University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Computer Vision work during breakout session""}, {""organization"": ""Hernandez-Simon University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Computer Vision work during breakout session""}]"
Taylor and Sons University,Robotics,Nicholas,Patterson,nicholas.patterson@taylorandsonsuniversity.edu,https://linkedin.com/in/nicholaspatterson227,7449101536,81956 Christina Junctions Apt. 322,New Misty,WV,USA,Attendee,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Wade, Lee and Strickland University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Robotics work during breakout session""}, {""organization"": ""Barber-Weber University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Robotics work during breakout session""}]"
Jones-Harris University,NLP,Samantha,Murillo,samantha.murillo@jonesharrisuniversity.edu,https://linkedin.com/in/samanthamurillo697,7456739391,14672 Santiago Gardens,West Stephanie,OR,USA,Attendee,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Terry Group University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed NLP work during breakout session""}, {""organization"": ""Wade, Lee and Strickland University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed NLP work during breakout session""}, {""organization"": ""Anderson-Zimmerman University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging NLP and Robotics""}]"
"Rodriguez, Cooper and Bryant University",Robotics,Samantha,Gregory,samantha.gregory@rodriguezcooperandbryantuniversity.edu,https://linkedin.com/in/samanthagregory240,9677388868,69983 Saunders Shoal,Port Hollystad,AZ,USA,Speaker,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Ramirez PLC University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Robotics work during breakout session""}, {""organization"": ""Yates, Carter and Foley University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Robotics work during breakout session""}, {""organization"": ""Collins LLC University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Robotics work during breakout session""}]"
Meza-Potter University,Robotics,Alexis,Chambers,alexis.chambers@mezapotteruniversity.edu,https://linkedin.com/in/alexischambers273,1537654867,9759 Dudley Meadows Suite 133,Kingbury,WI,USA,Speaker,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Terry Group University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Robotics work during breakout session""}, {""organization"": ""Terry Group University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging Robotics and Computer Vision""}, {""organization"": ""Wade, Lee and Strickland University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging Robotics and Computer Vision""}]"
Hill-Tapia University,Robotics,Andrea,Lewis,andrea.lewis@hilltapiauniversity.edu,https://linkedin.com/in/andrealewis974,2123178045,78513 Jensen Lake,Robertmouth,ND,USA,Organizer,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Ramirez PLC University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Robotics work during breakout session""}, {""organization"": ""Hernandez-Simon University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging Robotics and Computer Vision""}]"
"Fisher, Robinson and Evans University",NLP,Jason,Kaufman,jason.kaufman@fisherrobinsonandevansuniversity.edu,https://linkedin.com/in/jasonkaufman752,7320834098,0827 Steven Lodge,Brownmouth,AL,USA,Speaker,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Terry Group University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed NLP work during breakout session""}, {""organization"": ""Johnson and Sons University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging NLP and Computer Vision""}]"
Smith-Brown University,Computer Vision,Jenny,Holt,jenny.holt@smithbrownuniversity.edu,https://linkedin.com/in/jennyholt450,1495020707,3098 Mark Station,West Tannerburgh,SD,USA,Speaker,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Terry Group University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Computer Vision work during breakout session""}, {""organization"": ""Campbell PLC University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Computer Vision work during breakout session""}]"
Clark-Pham University,NLP,Jason,Reid,jason.reid@clarkphamuniversity.edu,https://linkedin.com/in/jasonreid494,7213378649,385 Omar Falls,Thompsonberg,DE,USA,Attendee,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Smith-Brown University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed NLP work during breakout session""}, {""organization"": ""Rodriguez-Hickman University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed NLP work during breakout session""}, {""organization"": ""Johnson and Sons University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed NLP work during breakout session""}, {""organization"": ""Barry LLC University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging NLP and Computer Vision""}, {""organization"": ""Barry LLC University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging NLP and Computer Vision""}]"
Hernandez-Simon University,NLP,Elizabeth,Chandler,elizabeth.chandler@hernandezsimonuniversity.edu,https://linkedin.com/in/elizabethchandler412,4002567789,2868 Cochran Parkway Suite 678,Lopezview,NV,USA,Speaker,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Ramirez PLC University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed NLP work during breakout session""}, {""organization"": ""Anderson-Zimmerman University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed NLP work during breakout session""}, {""organization"": ""Anderson-Zimmerman University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging NLP and Robotics""}, {""organization"": ""Barry LLC University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging NLP and Computer Vision""}]"
"Harvey, Sanders and Decker University",Robotics,Alfred,Yu,alfred.yu@harveysandersanddeckeruniversity.edu,https://linkedin.com/in/alfredyu218,3063770923,2157 Hansen Greens Suite 846,Rogersport,SD,USA,Speaker,EVT-2025-AICONF,AI Research Connections Conference 2025,2025-09-10,"[{""organization"": ""Fisher, Robinson and Evans University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Robotics work during breakout session""}, {""organization"": ""Ramos-Roth University"", ""connectionType"": ""Shared research interests"", ""notes"": ""Discussed Robotics work during breakout session""}, {""organization"": ""Johnson, Atkinson and Adams University"", ""connectionType"": ""Met at conference"", ""notes"": ""Met during poster session bridging Robotics and Computer Vision""}]"
