addressCity,addressCountry,addressState,addressStreet,connections,email,eventDate,eventId,eventName,firstName,lastName,orgName,phone,sector,socialLink,eventType,participantRole,medicalSpecialty
Atlanta,UNITED STATES,Vijay,"184, Health Street","[{""connectionOrg"": ""Rural Care Initiative 187"", ""connectionType"": ""Other"", ""otherText"": """"}, {""connectionOrg"": ""Community Medical Foundation 55"", ""connectionType"": ""Other"", ""otherText"": """"}]",meera.verma23yahoo.com,11/12/2025,EVT-MED-2025-001,Community Medical Camp 2025,Meera,Verma,Urban Wellness Center 185,6377924584,Education,https://linkedin.com/in/meera-verma-23,Medical camp,Patient,Pediatrics
Denver,UNITED STATES,Ajay,"161, Health Street","[{""connectionOrg"": ""TrustWell Medical Group"", ""connectionType"": ""Other"", ""otherText"": """"}, {""connectionOrg"": ""Public Health Mission 132"", ""connectionType"": ""Met for the first time"", ""otherText"": """"}]",aarav.garcia24@iu.edu,11/16/2025,EVT-MED-2025-001,Community Medical Camp 2025,Aarav,Garcia,Regional Health Trust 57,6377746022,Government,https://linkedin.com/in/aarav-garcia-24,Medical camp,Organizer,Dermatology
Delhi,INDIA,Delhi,"127, Health Street","[{""connectionOrg"": ""Regional Health Trust 197"", ""connectionType"": ""Funding / partnership"", ""otherText"": """"}]",sana.nguyen25@gmail.com,11/15/2025,EVT-MED-2025-001,Community Medical Camp 2025,Sana,Nguyen,Rural Care Initiative 158,6380838748,Business,https://linkedin.com/in/sana-nguyen-25,Medical camp,Patient,Orthopedics
Seattle,UNITED STATES,Washington,"32, Health Street",[],ananya.reddy26@quantiphi.com,11/14/2025,EVT-MED-2025-001,Community Medical Camp 2025,Ananya,Reddy,Urban Wellness Center 132,6336597180,Education,https://linkedin.com/in/ananya-reddy-26,Medical camp,Doctor,Cardiology
Los Angeles,UNITED STATES,Nowhere,"143, Health Street",[],priya.jones27@gmail.com,11/14/2025,EVT-MED-2025-001,Community Medical Camp 2025,Priya,Jones,Community Medical Foundation 154,6359837202,Business,https://linkedin.com/in/priya-jones-27,Medical camp,Doctor,Pediatrics
Chennai,INDIA,Tamil Nadu,"128, Health Street",[],meera.singh28@iu.edu,11/15/2025,EVT-MED-2025-001,Community Medical Camp 2025,Meera,Singh,Regional Health Trust 85,6319431331,Other,https://linkedin.com/in/meera-singh-28,Medical camp,Organizer,General
Los Angeles,UNITED STATES,Nowhere,"27, Health Street",[],meera.singh29@iu.edu,11/16/2025,EVT-MED-2025-001,Community Medical Camp 2025,Meera,Singh,HealthyFuture Foundation,6303847503,Other,https://linkedin.com/in/meera-singh-29,Medical camp,Volunteer,Dermatology
Chennai,INDIA,Tamil Nadu,"15, Health Street","[{""connectionOrg"": ""Urban Wellness Center 50"", ""connectionType"": ""Reconnected / existing relationship"", ""otherText"": """"}, {""connectionOrg"": ""Public Health Mission 164"", ""connectionType"": ""Other"", ""otherText"": """"}]",ananya.jones30@google.com,11/16/2025,EVT-MED-2025-001,Community Medical Camp 2025,Ananya,Jones,Rural Care Initiative 145,6311392974,Other,https://linkedin.com/in/ananya-jones-30,Medical camp,Organizer,Orthopedics
Atlanta,UNITED STATES,Vijay,"193, Health Street",[],prachi.jones31@google.com,11/16/2025,EVT-MED-2025-001,Community Medical Camp 2025,Prachi,Jones,Regional Health Trust 65,6337072024,Education,https://linkedin.com/in/prachi-jones-31,Medical camp,Volunteer,Orthopedics
OKKAJ,INDIA,PLEASE SELECT ST,"46, Health Street","[{""connectionOrg"": ""Rural Care Initiative 10"", ""connectionType"": ""Met for the first time"", ""otherText"": """"}]",alex.patel32yahoo.com,11/14/2025,EVT-MED-2025-001,Community Medical Camp 2025,ALEX,P,CareNext Foundation,6359526653,Government,LINK,Medical camp,Volunteer,Cardiology
Mumbai,INDIA,Maharashtra,"34, Health Street","[{""connectionOrg"": ""Rural Care Initiative 134"", ""connectionType"": ""Referral / introduced"", ""otherText"": """"}]",nithya.sharma33@gmail.com,11/14/2025,EVT-MED-2025-001,Community Medical Camp 2025,Nithya,Sharma,Rural Care Initiative 63,6304423966,Other,https://linkedin.com/in/nithya-sharma-33,Medical camp,Patient,Orthopedics
Delhi,INDIA,Delhi,"89, Health Street","[{""connectionOrg"": ""SafeLife Medical Services"", ""connectionType"": ""Referral / introduced"", ""otherText"": """"}, {""connectionOrg"": ""TrustWell Medical Group"", ""connectionType"": ""Funding / partnership"", ""otherText"": """"}]",sana.verma34@srmist.in.edu,11/16/2025,EVT-MED-2025-001,Community Medical Camp 2025,Sana,Verma,Rural Care Initiative 80,6330646045,Community,https://linkedin.com/in/sana-verma-34,Medical camp,Nurse,Dermatology
Mumbai,INDIA,Maharashtra,"157, Health Street","[{""connectionOrg"": ""Regional Health Trust 71"", ""connectionType"": ""Reconnected / existing relationship"", ""otherText"": """"}, {""connectionOrg"": ""Public Health Mission 155"", ""connectionType"": ""Referral / introduced"", ""otherText"": """"}]",luis.reddy35@iu.edu,11/13/2025,EVT-MED-2025-001,Community Medical Camp 2025,Luis,Reddy,Community Medical Foundation 173,6374320224,Education,https://linkedin.com/in/luis-reddy-35,Medical camp,Doctor,General
Los Vagas,UNITED STATES,Somewhere,"20, Health Street","[{""connectionOrg"": ""Urban Wellness Center 185"", ""connectionType"": ""Met for the first time"", ""otherText"": """"}]",kunal.reddy36@gmail.com,11/16/2025,EVT-MED-2025-001,Community Medical Camp 2025,Kunal,Reddy,NorthStar Medical Trust,6362063816,Community,https://linkedin.com/in/kunal-reddy-36,Medical camp,Patient,Orthopedics
BLOOMINGTON,UNITED STATES,INDIANA,"74, Health Street","[{""connectionOrg"": ""Community Medical Foundation 127"", ""connectionType"": ""Met for the first time"", ""otherText"": """"}]",rohan.nguyen37@srmist.in.edu,11/12/2025,EVT-MED-2025-001,Community Medical Camp 2025,Rohan,Nguyen,Public Health Mission 50,6340034299,Business,https://linkedin.com/in/rohan-nguyen-37,Medical camp,Nurse,Pediatrics
Los Vagas,UNITED STATES,Somewhere,"149, Health Street",[],dylan.nguyen38@google.com,11/12/2025,EVT-MED-2025-001,Community Medical Camp 2025,Dylan,Nguyen,VitalCare Medical Trust,6342603094,Other,https://linkedin.com/in/dylan-nguyen-38,Medical camp,Patient,General
Denver,UNITED STATES,Ajay,"164, Health Street",[],luis.singh39@iu.edu,11/12/2025,EVT-MED-2025-001,Community Medical Camp 2025,Luis,Singh,Public Health Mission 35,6385896829,Community,https://linkedin.com/in/luis-singh-39,Medical camp,Organizer,Pediatrics
OKKAJ,INDIA,PLEASE SELECT ST,"116, Health Street",[],michael.nguyen40yahoo.com,11/14/2025,EVT-MED-2025-001,Community Medical Camp 2025,MICHAEL,N,Public Health Mission 73,6340728671,Community,LINK,Medical camp,Volunteer,Dermatology
Los Vagas,UNITED STATES,Somewhere,"52, Health Street",[],vikram.gupta41@google.com,11/14/2025,EVT-MED-2025-001,Community Medical Camp 2025,Vikram,Gupta,Urban Wellness Center 44,6399289418,Community,https://linkedin.com/in/vikram-gupta-41,Medical camp,Doctor,Dermatology
Los Vagas,UNITED STATES,Somewhere,"163, Health Street","[{""connectionOrg"": ""Community Medical Foundation 107"", ""connectionType"": ""Referral / introduced"", ""otherText"": """"}]",michael.verma42@srmist.in.edu,11/13/2025,EVT-MED-2025-001,Community Medical Camp 2025,Michael,Verma,Public Health Mission 12,6311691030,Non-profit,https://linkedin.com/in/michael-verma-42,Medical camp,Nurse,General
Bengaluru,INDIA,Karnataka,"133, Health Street","[{""connectionOrg"": ""Community Medical Foundation 91"", ""connectionType"": ""Reconnected / existing relationship"", ""otherText"": """"}]",michael.gupta43@srmist.in.edu,11/16/2025,EVT-MED-2025-001,Community Medical Camp 2025,Michael,Gupta,Community Medical Foundation 45,6309726191,Other,https://linkedin.com/in/michael-gupta-43,Medical camp,Patient,Pediatrics
Chennai,INDIA,Tamil Nadu,"192, Health Street",[],rohan.singh44@srmist.in.edu,11/15/2025,EVT-MED-2025-001,Community Medical Camp 2025,Rohan,Singh,Community Medical Foundation 49,6320148015,Non-profit,https://linkedin.com/in/rohan-singh-44,Medical camp,Volunteer,Pediatrics
Pune,INDIA,Maharashtra,"182, Health Street","[{""connectionOrg"": ""Urban Wellness Center 185"", ""connectionType"": ""Referral / introduced"", ""otherText"": """"}, {""connectionOrg"": ""Public Health Mission 164"", ""connectionType"": ""Other"", ""otherText"": """"}]",vikram.singh45@amazon.com,11/13/2025,EVT-MED-2025-001,Community Medical Camp 2025,Vikram,Singh,LifeBridge Healthcare,6332117321,Non-profit,https://linkedin.com/in/vikram-singh-45,Medical camp,Volunteer,Orthopedics
Mumbai,INDIA,Maharashtra,"200, Health Street",[],aarav.reddy46@amazon.com,11/12/2025,EVT-MED-2025-001,Community Medical Camp 2025,Aarav,Reddy,Community Medical Foundation 142,6327555292,Non-profit,https://linkedin.com/in/aarav-reddy-46,Medical camp,Patient,Cardiology
Atlanta,UNITED STATES,Vijay,"134, Health Street","[{""connectionOrg"": ""SafeHarbor Medical"", ""connectionType"": ""Reconnected / existing relationship"", ""otherText"": """"}]",kunal.singh47@quantiphi.com,11/16/2025,EVT-MED-2025-001,Community Medical Camp 2025,Kunal,Singh,Community Medical Foundation 105,6387958228,Business,https://linkedin.com/in/kunal-singh-47,Medical camp,Doctor,Orthopedics
Seattle,UNITED STATES,Washington,"58, Health Street",[],sana.jones48@amazon.com,11/13/2025,EVT-MED-2025-001,Community Medical Camp 2025,Sana,Jones,Regional Health Trust 138,6374875325,Business,https://linkedin.com/in/sana-jones-48,Medical camp,Patient,Cardiology
Los Angeles,UNITED STATES,Nowhere,"152, Health Street","[{""connectionOrg"": ""Regional Health Trust 169"", ""connectionType"": ""Other"", ""otherText"": """"}]",ananya.jones49@quantiphi.com,11/15/2025,EVT-MED-2025-001,Community Medical Camp 2025,Ananya,Jones,LifeCare Partners,6338057252,Community,https://linkedin.com/in/ananya-jones-49,Medical camp,Organizer,Orthopedics
Los Vagas,UNITED STATES,Somewhere,"187, Health Street","[{""connectionOrg"": ""Public Health Mission 22"", ""connectionType"": ""Met for the first time"", ""otherText"": """"}]",sahil.nguyen50@gmail.com,11/16/2025,EVT-MED-2025-001,Community Medical Camp 2025,Sahil,Nguyen,Public Health Mission 195,6300050108,Business,https://linkedin.com/in/sahil-nguyen-50,Medical camp,Organizer,Orthopedics
Bengaluru,INDIA,Karnataka,"93, Health Street","[{""connectionOrg"": ""Rural Care Initiative 35"", ""connectionType"": ""Funding / partnership"", ""otherText"": """"}, {""connectionOrg"": ""Community Medical Foundation 27"", ""connectionType"": ""Met for the first time"", ""otherText"": """"}]",luis.reddy51@quantiphi.com,11/16/2025,EVT-MED-2025-001,Community Medical Camp 2025,Luis,Reddy,Regional Health Trust 81,6371350760,Other,https://linkedin.com/in/luis-reddy-51,Medical camp,Organizer,Pediatrics
Atlanta,UNITED STATES,Vijay,"128, Health Street","[{""connectionOrg"": ""Urban Wellness Center 17"", ""connectionType"": ""Met for the first time"", ""otherText"": """"}, {""connectionOrg"": ""Public Health Mission 106"", ""connectionType"": ""Reconnected / existing relationship"", ""otherText"": """"}]",sahil.gupta52yahoo.com,11/12/2025,EVT-MED-2025-001,Community Medical Camp 2025,Sahil,Gupta,Regional Health Trust 121,6328364190,Government,https://linkedin.com/in/sahil-gupta-52,Medical camp,Patient,Dermatology
Atlanta,UNITED STATES,Vijay,"73, Health Street","[{""connectionOrg"": ""Community Medical Foundation 115"", ""connectionType"": ""Referral / introduced"", ""otherText"": """"}, {""connectionOrg"": ""CareUnity Medical"", ""connectionType"": ""Reconnected / existing relationship"", ""otherText"": """"}]",sahil.gupta53@quantiphi.com,11/12/2025,EVT-MED-2025-001,Community Medical Camp 2025,Sahil,Gupta,Regional Health Trust 77,6353153087,Community,https://linkedin.com/in/sahil-gupta-53,Medical camp,Organizer,Cardiology
Los Angeles,UNITED STATES,Nowhere,"60, Health Street","[{""connectionOrg"": ""StrongCare Clinics"", ""connectionType"": ""Referral / introduced"", ""otherText"": """"}]",kunal.sharma54yahoo.com,11/13/2025,EVT-MED-2025-001,Community Medical Camp 2025,Kunal,Sharma,Rural Care Initiative 33,6399795244,Non-profit,https://linkedin.com/in/kunal-sharma-54,Medical camp,Organizer,Cardiology
Atlanta,UNITED STATES,Vijay,"82, Health Street",[],prachi.garcia55yahoo.com,11/15/2025,EVT-MED-2025-001,Community Medical Camp 2025,Prachi,Garcia,Regional Health Trust 10,6320161075,Business,https://linkedin.com/in/prachi-garcia-55,Medical camp,Volunteer,Dermatology
Los Vagas,UNITED STATES,Somewhere,"103, Health Street","[{""connectionOrg"": ""CareForward Health Trust"", ""connectionType"": ""Reconnected / existing relationship"", ""otherText"": """"}, {""connectionOrg"": ""Urban Wellness Center 60"", ""connectionType"": ""Funding / partnership"", ""otherText"": """"}]",luis.khan56@amazon.com,11/12/2025,EVT-MED-2025-001,Community Medical Camp 2025,Luis,Khan,Regional Health Trust 146,6385323423,Government,https://linkedin.com/in/luis-khan-56,Medical camp,Organizer,Cardiology
Delhi,INDIA,Delhi,"122, Health Street",[],sana.deshmukh57@gmail.com,11/16/2025,EVT-MED-2025-001,Community Medical Camp 2025,Sana,Deshmukh,Public Health Mission 6,6386721337,Other,https://linkedin.com/in/sana-deshmukh-57,Medical camp,Patient,Pediatrics
Los Vagas,UNITED STATES,Somewhere,"21, Health Street",[],kunal.iyer58@quantiphi.com,11/16/2025,EVT-MED-2025-001,Community Medical Camp 2025,Kunal,Iyer,Community Medical Foundation 127,6362887145,Business,https://linkedin.com/in/kunal-iyer-58,Medical camp,Volunteer,General
Denver,UNITED STATES,Ajay,"73, Health Street","[{""connectionOrg"": ""Community Medical Foundation 30"", ""connectionType"": ""Other"", ""otherText"": """"}]",kunal.gupta59yahoo.com,11/12/2025,EVT-MED-2025-001,Community Medical Camp 2025,Kunal,Gupta,Regional Health Trust 4,6312317040,Business,https://linkedin.com/in/kunal-gupta-59,Medical camp,Nurse,General
Mumbai,INDIA,Maharashtra,"154, Health Street","[{""connectionOrg"": ""Urban Wellness Center 59"", ""connectionType"": ""Shared info / resources"", ""otherText"": """"}, {""connectionOrg"": ""Rural Care Initiative 190"", ""connectionType"": ""Reconnected / existing relationship"", ""otherText"": """"}]",meera.patel60@quantiphi.com,11/16/2025,EVT-MED-2025-001,Community Medical Camp 2025,Meera,Patel,Urban Wellness Center 52,6323880546,Business,https://linkedin.com/in/meera-patel-60,Medical camp,Patient,Orthopedics
Atlanta,UNITED STATES,Vijay,"152, Health Street",[],rohan.gupta61@gmail.com,11/12/2025,EVT-MED-2025-001,Community Medical Camp 2025,Rohan,Gupta,Rural Care Initiative 165,6328049019,Community,https://linkedin.com/in/rohan-gupta-61,Medical camp,Doctor,Orthopedics
BLOOMINGTON,UNITED STATES,INDIANA,"195, Health Street","[{""connectionOrg"": ""Public Health Mission 118"", ""connectionType"": ""Funding / partnership"", ""otherText"": """"}]",alex.deshmukh62yahoo.com,11/14/2025,EVT-MED-2025-001,Community Medical Camp 2025,Alex,Deshmukh,Community Medical Foundation 157,6329247745,Education,https://linkedin.com/in/alex-deshmukh-62,Medical camp,Volunteer,Dermatology
Pune,INDIA,Maharashtra,"65, Health Street","[{""connectionOrg"": ""Urban Wellness Center 104"", ""connectionType"": ""Shared info / resources"", ""otherText"": """"}, {""connectionOrg"": ""NewAge Health Partners"", ""connectionType"": ""Other"", ""otherText"": """"}]",dylan.khan63@quantiphi.com,11/12/2025,EVT-MED-2025-001,Community Medical Camp 2025,Dylan,Khan,Public Health Mission 92,6320419694,Other,https://linkedin.com/in/dylan-khan-63,Medical camp,Volunteer,Pediatrics
OKKAJ,INDIA,PLEASE SELECT ST,"157, Health Street",[],aarav.patel64@quantiphi.com,11/16/2025,EVT-MED-2025-001,Community Medical Camp 2025,AARAV,P,NorthStar Medical Trust,6364997068,Government,LINK,Medical camp,Patient,Dermatology
Mumbai,INDIA,Maharashtra,"171, Health Street",[],nithya.sharma65@google.com,11/12/2025,EVT-MED-2025-001,Community Medical Camp 2025,Nithya,Sharma,Public Health Mission 173,6335912072,Government,https://linkedin.com/in/nithya-sharma-65,Medical camp,Nurse,General
Chennai,INDIA,Tamil Nadu,"55, Health Street",[],nithya.garcia66@quantiphi.com,11/13/2025,EVT-MED-2025-001,Community Medical Camp 2025,Nithya,Garcia,Community Medical Foundation 112,6382382637,Other,https://linkedin.com/in/nithya-garcia-66,Medical camp,Patient,Pediatrics
BLOOMINGTON,UNITED STATES,INDIANA,"15, Health Street","[{""connectionOrg"": ""Public Health Mission 26"", ""connectionType"": ""Other"", ""otherText"": """"}, {""connectionOrg"": ""Community Medical Foundation 95"", ""connectionType"": ""Reconnected / existing relationship"", ""otherText"": """"}]",sahil.reddy67@srmist.in.edu,11/13/2025,EVT-MED-2025-001,Community Medical Camp 2025,Sahil,Reddy,Rural Care Initiative 144,6392190946,Community,https://linkedin.com/in/sahil-reddy-67,Medical camp,Nurse,Dermatology
Delhi,INDIA,Delhi,"32, Health Street","[{""connectionOrg"": ""Urban Wellness Center 190"", ""connectionType"": ""Other"", ""otherText"": """"}]",nithya.verma68@quantiphi.com,11/15/2025,EVT-MED-2025-001,Community Medical Camp 2025,Nithya,Verma,Rural Care Initiative 64,6399207042,Non-profit,https://linkedin.com/in/nithya-verma-68,Medical camp,Patient,Dermatology
Delhi,INDIA,Delhi,"35, Health Street",[],vikram.reddy69yahoo.com,11/14/2025,EVT-MED-2025-001,Community Medical Camp 2025,Vikram,Reddy,Urban Wellness Center 69,6344286119,Other,https://linkedin.com/in/vikram-reddy-69,Medical camp,Organizer,Cardiology
Los Vagas,UNITED STATES,Somewhere,"36, Health Street",[],michael.nguyen70@quantiphi.com,11/12/2025,EVT-MED-2025-001,Community Medical Camp 2025,Michael,Nguyen,Urban Wellness Center 30,6377244738,Non-profit,https://linkedin.com/in/michael-nguyen-70,Medical camp,Organizer,Dermatology
Bengaluru,INDIA,Karnataka,"174, Health Street",[],ananya.reddy71yahoo.com,11/13/2025,EVT-MED-2025-001,Community Medical Camp 2025,Ananya,Reddy,SafeHarbor Medical,6321565072,Community,https://linkedin.com/in/ananya-reddy-71,Medical camp,Patient,Pediatrics
Pune,INDIA,Maharashtra,"172, Health Street","[{""connectionOrg"": ""Rural Care Initiative 173"", ""connectionType"": ""Other"", ""otherText"": """"}]",luis.deshmukh72@google.com,11/16/2025,EVT-MED-2025-001,Community Medical Camp 2025,Luis,Deshmukh,Regional Health Trust 156,6318425634,Education,https://linkedin.com/in/luis-deshmukh-72,Medical camp,Doctor,Pediatrics
Chennai,INDIA,Tamil Nadu,"124, Health Street","[{""connectionOrg"": ""Urban Wellness Center 186"", ""connectionType"": ""Met for the first time"", ""otherText"": """"}]",aarav.jones73@srmist.in.edu,11/16/2025,EVT-MED-2025-001,Community Medical Camp 2025,Aarav,Jones,Public Health Mission 157,6343917480,Other,https://linkedin.com/in/aarav-jones-73,Medical camp,Organizer,General
Hyderabad,INDIA,Telangana,"143, Health Street",[],ananya.sharma74@iu.edu,11/16/2025,EVT-MED-2025-001,Community Medical Camp 2025,Ananya,Sharma,Community Medical Foundation 198,6331718731,Non-profit,https://linkedin.com/in/ananya-sharma-74,Medical camp,Nurse,Pediatrics
Delhi,INDIA,Delhi,"35, Health Street","[{""connectionOrg"": ""Urban Wellness Center 188"", ""connectionType"": ""Referral / introduced"", ""otherText"": """"}, {""connectionOrg"": ""Regional Health Trust 122"", ""connectionType"": ""Referral / introduced"", ""otherText"": """"}]",prachi.singh75yahoo.com,11/15/2025,EVT-MED-2025-001,Community Medical Camp 2025,Prachi,Singh,Regional Health Trust 153,6376659700,Government,https://linkedin.com/in/prachi-singh-75,Medical camp,Volunteer,Cardiology
